"landscape","block","gen","treat","location","AutoPi_5","SexPi_5","AutoSE_5","SexSE_5","AutoPi_7.5","SexPi_7.5","AutoSE_7.5","SexSE_7.5","AutoPi_10","SexPi_10","AutoSE_10","SexSE_10","AutoPi_12.5","SexPi_12.5","AutoSE_12.5","SexSE_12.5","AutoPi_15","SexPi_15","AutoSE_15","SexSE_15"
36,2,0,"struct",NA,0.0104097937961237,0.00428216397338936,4.14609485685844e-05,9.45487637029271e-05,0.0104265712798558,0.00425225486225026,4.69021898398279e-05,0.00010228546318459,0.0104206437577604,0.00432207763113605,5.14483070562307e-05,0.000120431009501094,0.0104406761714343,0.00429945484035088,5.53683640357469e-05,0.000129447378950606,0.0104444145600967,0.00428324571218487,5.91374276746994e-05,0.000131324866733517
36,2,8,"struct","C",0.00997232185389959,0.00407926198743894,4.11578216290978e-05,9.04328970574696e-05,0.00997936638653137,0.00409432680228928,4.64100226789109e-05,0.000104716822930572,0.00998711898668627,0.00408016411854951,5.08631597687092e-05,0.00011126036669681,0.0100139864212183,0.00410605402264808,5.47663692801981e-05,0.0001241102007827,0.0100107996785888,0.00407509907515658,5.84361841383992e-05,0.000125259290308163
36,2,8,"struct","E",0.00988490849184008,0.0038781875546277,4.18785526980673e-05,8.2966328106514e-05,0.0098870071353801,0.00386791124895397,4.72075944139141e-05,9.33338341579851e-05,0.00991238613052667,0.00384222908438819,5.17052848231306e-05,9.98006120734551e-05,0.00990059267591717,0.00387369214335664,5.53276688589878e-05,0.000108652620364858,0.0099177459620603,0.00386777002505219,5.913552804272e-05,0.000116357867590806
40,2,0,"struct",NA,0.0102710621695737,0.00424716452941176,4.14503927292612e-05,9.54473856025411e-05,0.0102851406020591,0.00420999647991543,4.68518527414976e-05,0.000104825364826787,0.0102955470787318,0.00423498026836158,5.13412618024196e-05,0.000115758643539494,0.0103041955252041,0.00428249344699647,5.53229855248115e-05,0.000132765923445527,0.0103019404842929,0.00423749872245763,5.92542983545885e-05,0.000134616039345483
40,2,8,"struct","C",0.0103722760854756,0.00414932822268326,4.36602998159712e-05,9.14366869316515e-05,0.0103657051408139,0.00415303391580042,4.92302032565387e-05,0.000105683516061217,0.0103722590815267,0.0041791269197787,5.38802998314236e-05,0.000116645110012427,0.0103865062691106,0.00417966316840278,5.78929554388341e-05,0.000127101222448676,0.0103986695470405,0.00417363415384615,6.21174612485632e-05,0.000136786279716301
40,2,8,"struct","E",0.00912716483262944,0.00395094591037403,4.13164345552158e-05,0.000101657010224499,0.00913594480783231,0.00398263844736842,4.66811001794966e-05,0.000116658926607196,0.00916059644741221,0.00394674376727786,5.10742414063614e-05,0.000128616929948649,0.00915326593731839,0.00396318642680776,5.49102225772097e-05,0.000137973314375673,0.00916179671194641,0.00396799906342495,5.85830754116779e-05,0.000149741064006428
42,3,0,"shuff",NA,0.0120519273235078,0.0044656649,5.32027655054745e-05,0.000104777730061265,0.0120619390626719,0.00440658838416076,5.97712078508263e-05,0.000115596553271676,0.0121007345500165,0.00441545551956181,6.5179345386641e-05,0.00012577693856553,0.0121121084134131,0.00435930835741445,6.96342639596389e-05,0.000132883553550627,0.0121415877778496,0.00432883386455982,7.39626515367081e-05,0.000140364960724736
42,3,8,"shuff",NA,0.00990368776668319,0.0041053333979021,4.15401209561384e-05,9.34027062513952e-05,0.00992214334024667,0.00409790262710084,4.71030216372451e-05,0.000105139587399453,0.00992745168164763,0.0041262130349162,5.16526092611147e-05,0.000115139231901328,0.00995257677972631,0.00413873534090909,5.57707722809001e-05,0.000125729975113298,0.00994021491051291,0.00405793254297694,5.96084256413261e-05,0.000127085910372982
44,3,0,"shuff",NA,0.010504581912586,0.00427707642371706,4.16743541767378e-05,8.96264405484364e-05,0.0105111613349778,0.00431440055222337,4.72347018220112e-05,0.000103651058867955,0.0105058347551484,0.00432731632963989,5.18766381655395e-05,0.000115786730023888,0.010533941406269,0.00432834372931034,5.60937302300297e-05,0.000122814317846456,0.0105136772040866,0.00430830513636364,5.98098902179229e-05,0.000129948210749659
44,3,8,"shuff",NA,0.0103774669142644,0.00429653210741511,4.19004478695229e-05,8.8823483451426e-05,0.0103818461139747,0.00432737229721362,4.72855458173662e-05,0.000101848490646037,0.0103846268611611,0.00433596873029046,5.18494607682745e-05,0.000111478261426265,0.0104125072906514,0.00434278934256055,5.58914310195911e-05,0.000120595499770372,0.0103993514553441,0.00429883677338877,5.95228417089697e-05,0.000128304531298588
45,3,0,"shuff",NA,0.0105958277994448,0.00428295323928077,4.22668536572605e-05,9.54240550376829e-05,0.0106073990643866,0.00431328109700722,4.79956729801076e-05,0.000108888649671526,0.010605651879712,0.00431429184254144,5.26470317858376e-05,0.00012028986423013,0.0106223916499546,0.00429963024137931,5.7023587679214e-05,0.000129037024752749,0.0106096718293301,0.00428508588453608,6.08381050907151e-05,0.000136948671702397
45,3,8,"shuff",NA,0.00982819964781893,0.00409563376241901,4.24020293596853e-05,0.00010174908282302,0.00985434204163797,0.00413904465843179,4.78996219649845e-05,0.000115920159268765,0.00986809692141667,0.00408716608571429,5.23710430540338e-05,0.000122038986283219,0.00988382964475047,0.00411701216106195,5.62931584673181e-05,0.000132820583122811,0.00987984291564474,0.0041315495982906,6.00583332458403e-05,0.000147214435548773
47,3,0,"shuff",NA,0.0104065534334406,0.00432649932303371,4.20175615619702e-05,9.49628816727368e-05,0.0104161836988852,0.00432723580982236,4.7381569910209e-05,0.000106582217876424,0.0104252207668242,0.00437607530307263,5.19997228703973e-05,0.00011962827098812,0.0104483024839692,0.0043372702465035,5.60043887227911e-05,0.000127405747377316,0.0104257763474515,0.00431301793263158,5.97782082931547e-05,0.000133686984743421
47,3,8,"shuff",NA,0.010168488399123,0.00410041752808989,4.16318830535254e-05,9.26132381623302e-05,0.0101784453914087,0.00408799532383966,4.71114723108221e-05,0.000103072888493434,0.010193364008995,0.0041212228915493,5.17783265123511e-05,0.000115798362333872,0.0102187346137383,0.00412404628371278,5.58193480591635e-05,0.000121543273404986,0.0101903581748507,0.00409013179915433,5.95509926477234e-05,0.000128515407805932
48,3,0,"shuff",NA,0.010042702191887,0.00406279507643312,4.14639736052771e-05,9.3033276919485e-05,0.0100648586019926,0.00405890070736842,4.67484680931658e-05,0.000102698122663492,0.0100905623461896,0.00408098828672316,5.12858800827551e-05,0.000118426466208749,0.0100918079686349,0.00408488986042403,5.50729439019848e-05,0.000128385956558417,0.0101024270273713,0.00408503348421053,5.88630795269071e-05,0.000131506410067115
48,3,8,"shuff",NA,0.00979806443019991,0.00405762634330484,4.14511963207381e-05,9.98729441440124e-05,0.00980407357424139,0.00405456540595112,4.66975699420054e-05,0.000112362854704492,0.00983755178688931,0.00401697144301994,5.12232222720829e-05,0.000123650130696172,0.00983415261788953,0.00403116045470693,5.51791046072381e-05,0.000133067278503136,0.00983787640019726,0.00395409663675214,5.8706830022384e-05,0.000135581055878304
49,3,0,"shuff",NA,0.0102743119270175,0.00397023950342205,4.25045064106174e-05,0.000103175041654388,0.0102990797881139,0.0041100846910299,4.79227575303333e-05,0.000120731939197701,0.0103050743579192,0.00401358574222222,5.21994362900103e-05,0.000129168408463114,0.0103249440407656,0.00401706528014842,5.64053946112154e-05,0.000136566626458025,0.0103250680073002,0.00404376245054945,6.01542876077284e-05,0.00014878552312297
49,3,8,"shuff",NA,0.0100723969151637,0.00408962548755187,4.18271284154814e-05,9.52440396643597e-05,0.0100960192452888,0.00410584804437565,4.75147748335284e-05,0.000108018406010057,0.0100940089465128,0.00409931971191136,5.21569913510984e-05,0.00011997711677821,0.0101104937386237,0.00411164929827586,5.64747632474274e-05,0.000128852464342477,0.0100966068686379,0.00406744448447205,5.99529506200268e-05,0.000135240950377891
51,3,0,"struct",NA,0.0106329906805584,0.00409763591891892,4.21936590774046e-05,9.08500270858794e-05,0.0106440869357793,0.00408997370496894,4.79579077407021e-05,0.000101479808147299,0.0106429190486083,0.00411882715512465,5.27017058230338e-05,0.000114571622433846,0.0106768422524517,0.00409826803806228,5.69790748922595e-05,0.000119280940738729,0.0106613121459518,0.00407261860373444,6.08175373583615e-05,0.000126221539079881
51,3,8,"struct","C",0.00973396474989395,0.0039045231130186,4.12468830988108e-05,9.20794517674272e-05,0.00975763300378501,0.00390221294792774,4.67854295643248e-05,0.000102922244846134,0.00977691978634693,0.00387176841344778,5.10712215883636e-05,0.000113201519956455,0.00978670523310705,0.00391027629662522,5.50788553288934e-05,0.000124264819048789,0.00978519982911944,0.00387955982765957,5.8688628515128e-05,0.000129538664384324
51,3,8,"struct","E",0.00955073476156106,0.00391784193913659,4.24046021374016e-05,9.6533080432521e-05,0.00956905222457891,0.00395419155121436,4.81093985883231e-05,0.000113130109202027,0.0095676466191146,0.00387953617714286,5.26714347793707e-05,0.000120495777779052,0.00959091170126922,0.00394010012920354,5.70542307178407e-05,0.000130906496408611,0.009585521360276,0.00387666772399151,6.08236324148796e-05,0.000133749305180956
52,3,0,"struct",NA,0.0116459005728155,0.00385135564772727,5.09250610935096e-05,8.31995939605551e-05,0.0116525829267124,0.00388366055391121,5.69471672046898e-05,9.19829030713566e-05,0.0116714181146629,0.00390928995615276,6.18274149883495e-05,0.000104478536441771,0.0117369852072048,0.00388671727816901,6.60789337082781e-05,0.000107999829946255,0.0117731460552707,0.00388640806382979,7.01394132423533e-05,0.000115303781531364
52,3,8,"struct","C",0.0101238030071679,0.0040271939409312,4.15670087888736e-05,9.14380177484157e-05,0.0101411827962463,0.00401825219791667,4.72729701742546e-05,0.000100355067416823,0.0101328728045518,0.00403125498748261,5.17003802665801e-05,0.000112253135191078,0.0101718186181874,0.00404280676215278,5.58588750249186e-05,0.000119411590419896,0.0101386312736433,0.00405615270807453,5.94949358766324e-05,0.000127592935320859
52,3,8,"struct","E",0.00968865943101445,0.00359176736414566,4.11061608271124e-05,8.63450857472002e-05,0.00970707571402956,0.00363027622338205,4.66275041595139e-05,0.000100632098950263,0.00971476379903247,0.00364566103221289,5.10626980982289e-05,0.000110719042809955,0.00972538544596527,0.0036357533117338,5.48800171568382e-05,0.000118809954484167,0.00970387463055454,0.00365171551351351,5.86132402691184e-05,0.000124149335023556
53,3,0,"struct",NA,0.0103497371341785,0.00412718803601108,4.15643122389631e-05,8.99746064889282e-05,0.0103568998813351,0.00413303327525773,4.69439140473369e-05,0.000101780896120398,0.0103666178160358,0.00412068450415512,5.13665137347025e-05,0.000110285585897109,0.0103827590254383,0.00414858781174439,5.54819655381431e-05,0.000120639870577567,0.0103841330041177,0.00411282047412008,5.92487959924392e-05,0.000128458435415482
53,3,8,"struct","C",0.00996674253691696,0.00365579837321937,4.1699465420179e-05,9.26394935291797e-05,0.0100033440256171,0.00370463355355249,4.73584704270945e-05,0.000106807761431716,0.0100017142350268,0.00368486113758865,5.15761179155945e-05,0.000114646337542367,0.0100179666997327,0.00366600248214286,5.58117325437724e-05,0.000123234626151302,0.0100101518769363,0.00367243554371002,5.92041679336194e-05,0.000132988559580414
53,3,8,"struct","E",0.00971388657382858,0.00374805085115304,4.1728794087339e-05,9.21105283617853e-05,0.00974581082216032,0.00376850775156576,4.72015645762736e-05,0.000104106317293806,0.009758700742039,0.00377182595524476,5.17241414970919e-05,0.000113905075918926,0.0097730082708184,0.00378690580662021,5.56803169860654e-05,0.000123475789936429,0.0097674861649712,0.00372741203549061,5.92034591860637e-05,0.000126644195649653
54,3,0,"struct",NA,0.0104486440361795,0.00419450363894664,4.18946591697264e-05,9.23943218312751e-05,0.0104609629845107,0.00423234344834711,4.76124512575028e-05,0.000106712633873212,0.0104637420655459,0.00425075431724138,5.22041238346489e-05,0.000118805253183964,0.0104915938185114,0.00425349167986231,5.65065835679155e-05,0.000125504372180872,0.0104709704015425,0.00423041206378601,6.0302722212216e-05,0.000133607754754635
54,3,8,"struct","C",0.0101119863724885,0.00417532924097222,4.16052476546322e-05,9.31975513607498e-05,0.0101224931506463,0.00418425005595855,4.72019144924303e-05,0.000105277683976462,0.0101374105415377,0.00415526392083333,5.18844422737851e-05,0.000112915444751254,0.0101640795745694,0.00419887121837088,5.61350216580959e-05,0.000124734225669344,0.0101440782140866,0.00416262570927835,5.98478505042832e-05,0.000130615859895406
54,3,8,"struct","E",0.00955114226104302,0.00381087878511236,4.14135928651409e-05,8.73303732971768e-05,0.00956222098311927,0.00380587559725159,4.70625291617351e-05,9.8509851246969e-05,0.00958301873993657,0.00385226977150917,5.16488115963403e-05,0.000109780347640151,0.00959030537668389,0.00384024791418564,5.56572568389963e-05,0.00011367099810009,0.0095769120666828,0.00379576983333333,5.95485099831749e-05,0.000121010235421519
55,3,0,"struct",NA,0.0102802736015446,0.00401297480259366,4.17564773062582e-05,9.75876634183516e-05,0.0103084170299275,0.00404859578218884,4.72448733148793e-05,0.000109323113010675,0.0103174470332344,0.00401565547428571,5.16689200815105e-05,0.000118820232130037,0.0103169450754543,0.0040453377078853,5.55333360407532e-05,0.000129504696194584,0.0103151341686303,0.00395928268318965,5.9177072433534e-05,0.000130984887335103
55,3,8,"struct","C",0.0100980798828681,0.00392139926096033,4.16516864877714e-05,8.98600281390045e-05,0.0101088414920276,0.00393877991295337,4.71634907738186e-05,0.000100704379330495,0.0101180587264902,0.00396394121438451,5.16739058443875e-05,0.000111633945517737,0.0101504248801494,0.00394952186481802,5.57613703586141e-05,0.00011845315808202,0.010123920633285,0.00391545840871369,5.9401825035733e-05,0.000123339271921817
55,3,8,"struct","E",0.0106055809516655,0.00368999819957983,4.64760537760475e-05,8.4624549263549e-05,0.0106140224885646,0.00369268409014675,5.19103000948456e-05,9.46966017065749e-05,0.0106204362975183,0.00369566594662921,5.63087390048603e-05,0.000105220538763968,0.0106472254696237,0.00368998351663748,6.03110055948604e-05,0.000111307863742983,0.0106411215490582,0.00370415409243697,6.40636947570427e-05,0.000119233406406063
56,3,0,"struct",NA,0.0104322927650778,0.00405056740915395,4.16201034550347e-05,9.14171673263522e-05,0.010442066597455,0.00409159719504644,4.72507193428197e-05,0.000104394615003046,0.0104466211213995,0.00408218916111111,5.18978614386027e-05,0.000115112283920433,0.0104747268057751,0.00410233901211073,5.60775913184335e-05,0.000123385646574808,0.010460063417404,0.00408272732298137,5.97193708436804e-05,0.000132142166339327
56,3,8,"struct","C",0.0100271468780806,0.00405410818873239,4.19098026847196e-05,9.47965827021424e-05,0.0100339317752233,0.00403382209568875,4.71433040420953e-05,0.00010589044696449,0.0100596023148625,0.00406180163904494,5.17269492445985e-05,0.000116525930965685,0.0100817136479208,0.00403638339858907,5.57242391680797e-05,0.000125360907230579,0.0100654252594741,0.00397904391949153,5.92808653471149e-05,0.000128171472185384
56,3,8,"struct","E",0.0097681504905795,0.00360105879438596,4.07690093647895e-05,8.87106327010017e-05,0.00980714398910268,0.00364223553717277,4.62623198611312e-05,9.98322084957022e-05,0.00981059029241847,0.00360386773033708,5.041837804364e-05,0.000109802870071826,0.00981615324028451,0.00363957747285464,5.45892423869165e-05,0.000119380401668084,0.00982046499346566,0.0035907328802521,5.80810346126457e-05,0.000121104431292976
57,3,0,"struct",NA,0.0108044366129504,0.00404202837257618,4.31073596865284e-05,8.95210677396547e-05,0.0108057329369855,0.00406340113903193,4.87626450800575e-05,0.000102710047466664,0.0107966412043868,0.0040302354147018,5.33860602201992e-05,0.000111157087758144,0.0108169897857143,0.00405639260311958,5.76497935975773e-05,0.000120970419654744,0.0108157787627907,0.00402288461904762,6.16051523441262e-05,0.000126920472052487
57,3,8,"struct","C",0.0101156157259416,0.00381861464902507,4.14657288498581e-05,8.15288250811291e-05,0.0101373038444184,0.00380676671741397,4.69396649100668e-05,9.11903120839102e-05,0.0101468107811373,0.00383014659832636,5.15426961826084e-05,0.000101153370076161,0.0101670624552605,0.00385812617820069,5.56670071858754e-05,0.00010903755409626,0.0101542829015512,0.00381746876458333,5.93614626870287e-05,0.000115291823439777
57,3,8,"struct","E",0.00959501320757213,0.00374301901412429,4.10102053034602e-05,9.18106734661819e-05,0.00960753957802793,0.00374102326560847,4.65479987610146e-05,0.000102823889023479,0.00959968790847319,0.00375369714548023,5.07946048542783e-05,0.000114685824992031,0.00962997364079349,0.00374118933865248,5.48711444693822e-05,0.000121759474536868,0.00961372232172006,0.00374192352008457,5.83829102598276e-05,0.000128827562537365
58,3,0,"struct",NA,0.0102955924765779,0.00418802150938152,4.18270423717135e-05,9.69383854750426e-05,0.0103012077863787,0.00420134947352025,4.73926371200234e-05,0.000110511258650996,0.010302497051647,0.00417945968289291,5.19386485582231e-05,0.000119566669620315,0.0103289423608414,0.00420305380449827,5.6176963106335e-05,0.000128286434169974,0.0103203954075778,0.00414377755301455,5.97993803427102e-05,0.000133553646433313
58,3,8,"struct","C",0.0100993288874722,0.00403150441724618,4.22809252379672e-05,9.23214004947555e-05,0.0101094140415596,0.00403755446058091,4.79735868438524e-05,0.00010468271293622,0.0101121296342356,0.00402908123044693,5.26916663693651e-05,0.000115342436318776,0.0101381653338401,0.00406266151130435,5.7043930205639e-05,0.000124225347601163,0.0101161927582032,0.00402623194605809,6.06957519605016e-05,0.000130545295431897
58,3,8,"struct","E",0.00977111608355995,0.00386144357261988,4.17532281906907e-05,8.97458304821128e-05,0.00978324067681916,0.00387752320353063,4.74943460412856e-05,0.00010197419795779,0.00980314260372275,0.0039072078779473,5.22626268764456e-05,0.000112007033732743,0.00981204101951815,0.00388329422491349,5.63945528030518e-05,0.0001195453667516,0.00979272420437424,0.00386161120703934,6.0047588458199e-05,0.000125782928803725
59,3,0,"struct",NA,0.00990663954952871,0.00401887416910688,4.24147752635764e-05,0.000101421560433213,0.00991387891227388,0.00403819478981582,4.77614259119786e-05,0.000113041531879981,0.00994827265252855,0.00405045865065502,5.22326307686531e-05,0.000125593304898859,0.00994841777699153,0.00403217922423146,5.59416401902145e-05,0.000132959355087333,0.00992932943835792,0.0040874921285403,5.95003626732504e-05,0.000149957056174436
59,3,8,"struct","C",0.0102360957520719,0.00398215519292158,4.22365229627109e-05,9.20937935327641e-05,0.0102510332075287,0.00399524443640124,4.79411422962029e-05,0.000104347940404706,0.0102558861095868,0.00401803930470914,5.27116625458853e-05,0.000116056092263839,0.0102856350568032,0.00402002540932643,5.70767397516392e-05,0.000124419334079178,0.0102776174790223,0.00399422911958763,6.09516985889138e-05,0.000130647190498213
59,3,8,"struct","E",0.0098257204996713,0.00391515557345635,4.21798743053087e-05,9.42923541618688e-05,0.00983360928420086,0.00391248810191083,4.78460476536943e-05,0.000105353079435158,0.00982888466427874,0.00393615596343179,5.254683150634e-05,0.000117837409506269,0.00984916088756078,0.00389313990602837,5.66185150338627e-05,0.000123830364805447,0.00983122288805428,0.00392176742553191,6.04100727081427e-05,0.000132829925402329
61,4,0,"shuff",NA,0.0106056590141882,0.00432856698331015,4.22687905858879e-05,9.5492280839695e-05,0.0105995897240224,0.00431279338796681,4.79517849124047e-05,0.000105879260435485,0.010608003985187,0.00433337753120666,5.27103631399394e-05,0.000117045827481949,0.0106357518884064,0.00437113011091854,5.70192192881557e-05,0.000129214341427368,0.0106206079846748,0.00431668328630705,6.07689506519605e-05,0.00013511233241503
61,4,8,"shuff",NA,0.0100340649473619,0.00411794283647799,4.21137864123615e-05,9.10667945390475e-05,0.0100490844370006,0.00416262594351464,4.76927828719818e-05,0.000105742325037655,0.0100611510283127,0.00416375249583333,5.2428411572145e-05,0.000115582676965711,0.010073865918278,0.00415576681151832,5.65486066819387e-05,0.000123214008752412,0.0100708704040146,0.00417747779002079,6.02841628964647e-05,0.000134248913696175
63,4,0,"shuff",NA,0.0110410866197572,0.00419963196604297,4.4436523571219e-05,9.27954610010208e-05,0.0110367654656125,0.00418011009627329,5.00511865365983e-05,0.000103078705243312,0.0110216670701976,0.00418197519140083,5.48447169650241e-05,0.000113761524178948,0.0110321931250521,0.00419689585763889,5.87529572281865e-05,0.000121452017816375,0.0110348327730966,0.00416512578467909,6.27434140789961e-05,0.000129770602684762
63,4,8,"shuff",NA,0.0115057616751129,0.00420939774929775,5.04515036468021e-05,8.9856211620333e-05,0.0115386599451992,0.00424032045846477,5.6603608027075e-05,0.000103322535934434,0.0115476325768998,0.00426587881450488,6.17190743631743e-05,0.000112796008224871,0.0115627680300174,0.00426727623867596,6.56056773255649e-05,0.000122184450004288,0.0115657982165483,0.00424742208193277,7.00567987783801e-05,0.000130470220041075
64,4,0,"shuff",NA,0.0106050139748926,0.00407529004475525,4.25548252635326e-05,9.08479981360107e-05,0.0106280109512525,0.00411770245416667,4.8197617427266e-05,0.000103827627684128,0.0106279853303936,0.00409499628351955,5.29384512178075e-05,0.000113254956064915,0.0106551953492823,0.00408081210157618,5.71749260860609e-05,0.000118973638862171,0.0106447357203647,0.00409569841372141,6.09291441117202e-05,0.000128198148755667
